Date,prevo1,prevh1,prevl1,prevv1,prevp2,prevo2,prevh2,prevl2,prevv2,prevp3,prevo3,prevh3,prevl3,prevv3,prevp4,prevo4,prevh4,prevl4,prevv4,prevp5,prevo5,prevh5,prevl5,prevv5,closing
25-Sep-21,2928.59,2965.48,2812.7,973830,2928.57,3152.92,3158.38,2740.06,1740000,3152.92,3077.8,3173,3035.96,841540,3077.78,2764.71,3087.97,2740.58,1190000,2761.52,2976.7,3101.88,2659.71,1790000,2874.68
24-Sep-21,3152.92,3158.38,2740.06,1740000,3152.92,3077.8,3173,3035.96,841540,3077.78,2764.71,3087.97,2740.58,1190000,2761.52,2976.7,3101.88,2659.71,1790000,2976.05,3328.49,3344.04,2931.64,1720000,2928.57
23-Sep-21,3077.8,3173,3035.96,841540,3077.78,2764.71,3087.97,2740.58,1190000,2761.52,2976.7,3101.88,2659.71,1790000,2976.05,3328.49,3344.04,2931.64,1720000,3329.12,3435.92,3455.67,3282.85,614000,3152.92
22-Sep-21,2764.71,3087.97,2740.58,1190000,2761.52,2976.7,3101.88,2659.71,1790000,2976.05,3328.49,3344.04,2931.64,1720000,3329.12,3435.92,3455.67,3282.85,614000,3435.97,3398.55,3539.5,3371.33,600190,3077.78
21-Sep-21,2976.7,3101.88,2659.71,1790000,2976.05,3328.49,3344.04,2931.64,1720000,3329.12,3435.92,3455.67,3282.85,614000,3435.97,3398.55,3539.5,3371.33,600190,3398.65,3569.92,3592.2,3352.32,748100,2761.52
20-Sep-21,3328.49,3344.04,2931.64,1720000,3329.12,3435.92,3455.67,3282.85,614000,3435.97,3398.55,3539.5,3371.33,600190,3398.65,3569.92,3592.2,3352.32,748100,3569.43,3612.23,3672.68,3488.53,195790,2976.05
19-Sep-21,3435.92,3455.67,3282.85,614000,3435.97,3398.55,3539.5,3371.33,600190,3398.65,3569.92,3592.2,3352.32,748100,3569.43,3612.23,3672.68,3488.53,195790,3611.9,3430.36,3612.29,3361.63,790270,3329.12
18-Sep-21,3398.55,3539.5,3371.33,600190,3398.65,3569.92,3592.2,3352.32,748100,3569.43,3612.23,3672.68,3488.53,195790,3611.9,3430.36,3612.29,3361.63,790270,3428.87,3284.65,3428.87,3270.91,720340,3435.97
17-Sep-21,3569.92,3592.2,3352.32,748100,3569.43,3612.23,3672.68,3488.53,195790,3611.9,3430.36,3612.29,3361.63,790270,3428.87,3284.65,3428.87,3270.91,720340,3284.52,3408.17,3429.24,3118.66,1340000,3398.65
16-Sep-21,3612.23,3672.68,3488.53,195790,3611.9,3430.36,3612.29,3361.63,790270,3428.87,3284.65,3428.87,3270.91,720340,3284.52,3408.17,3429.24,3118.66,1340000,3408.28,3267.33,3469.5,3231.87,805970,3569.43
15-Sep-21,3430.36,3612.29,3361.63,790270,3428.87,3284.65,3428.87,3270.91,720340,3284.52,3408.17,3429.24,3118.66,1340000,3408.28,3267.33,3469.5,3231.87,805970,3267.33,3209.37,3345.37,3202.41,732950,3611.9
14-Sep-21,3284.65,3428.87,3270.91,720340,3284.52,3408.17,3429.24,3118.66,1340000,3408.28,3267.33,3469.5,3231.87,805970,3267.33,3209.37,3345.37,3202.41,732950,3207.27,3423.87,3512.9,3156.28,1210000,3428.87
13-Sep-21,3408.17,3429.24,3118.66,1340000,3408.28,3267.33,3469.5,3231.87,805970,3267.33,3209.37,3345.37,3202.41,732950,3207.27,3423.87,3512.9,3156.28,1210000,3423.51,3498.92,3564.3,3395.94,1090000,3284.52
12-Sep-21,3267.33,3469.5,3231.87,805970,3267.33,3209.37,3345.37,3202.41,732950,3207.27,3423.87,3512.9,3156.28,1210000,3423.51,3498.92,3564.3,3395.94,1090000,3495.1,3424.35,3557.67,3221.6,780680,3408.28
11-Sep-21,3209.37,3345.37,3202.41,732950,3207.27,3423.87,3512.9,3156.28,1210000,3423.51,3498.92,3564.3,3395.94,1090000,3495.1,3424.35,3557.67,3221.6,780680,3423.12,3926.84,3945.79,3061.3,2470000,3267.33
10-Sep-21,3423.87,3512.9,3156.28,1210000,3423.51,3498.92,3564.3,3395.94,1090000,3495.1,3424.35,3557.67,3221.6,780680,3423.12,3926.84,3945.79,3061.3,2470000,3927.21,3950.2,3968.2,3867.55,764560,3207.27
9-Sep-21,3498.92,3564.3,3395.94,1090000,3495.1,3424.35,3557.67,3221.6,780680,3423.12,3926.84,3945.79,3061.3,2470000,3927.21,3950.2,3968.2,3867.55,764560,3950.62,3885.4,3981.22,3834.74,714160,3423.51
8-Sep-21,3424.35,3557.67,3221.6,780680,3423.12,3926.84,3945.79,3061.3,2470000,3927.21,3950.2,3968.2,3867.55,764560,3950.62,3885.4,3981.22,3834.74,714160,3884.97,3938.45,3968.33,3844.07,672530,3495.1
7-Sep-21,3926.84,3945.79,3061.3,2470000,3927.21,3950.2,3968.2,3867.55,764560,3950.62,3885.4,3981.22,3834.74,714160,3884.97,3938.45,3968.33,3844.07,672530,3936.29,3785.85,4024.89,3715.97,1200000,3423.12
6-Sep-21,3950.2,3968.2,3867.55,764560,3950.62,3885.4,3981.22,3834.74,714160,3884.97,3938.45,3968.33,3844.07,672530,3936.29,3785.85,4024.89,3715.97,1200000,3786.19,3826.9,3833.89,3723.42,928700,3927.21
5-Sep-21,3885.4,3981.22,3834.74,714160,3884.97,3938.45,3968.33,3844.07,672530,3936.29,3785.85,4024.89,3715.97,1200000,3786.19,3826.9,3833.89,3723.42,928700,3832.73,3429.65,3839.91,3384.82,1480000,3950.62
4-Sep-21,3938.45,3968.33,3844.07,672530,3936.29,3785.85,4024.89,3715.97,1200000,3786.19,3826.9,3833.89,3723.42,928700,3832.73,3429.65,3839.91,3384.82,1480000,3430.74,3228.23,3467.42,3191.34,1520000,3884.97
3-Sep-21,3785.85,4024.89,3715.97,1200000,3786.19,3826.9,3833.89,3723.42,928700,3832.73,3429.65,3839.91,3384.82,1480000,3430.74,3228.23,3467.42,3191.34,1520000,3225.67,3222.43,3345.72,3145.53,966580,3936.29
2-Sep-21,3826.9,3833.89,3723.42,928700,3832.73,3429.65,3839.91,3384.82,1480000,3430.74,3228.23,3467.42,3191.34,1520000,3225.67,3222.43,3345.72,3145.53,966580,3222.16,3243.96,3282.21,3155.31,643730,3786.19
1-Sep-21,3429.65,3839.91,3384.82,1480000,3430.74,3228.23,3467.42,3191.34,1520000,3225.67,3222.43,3345.72,3145.53,966580,3222.16,3243.96,3282.21,3155.31,643730,3243.9,3273.78,3284.58,3212.24,466210,3832.73
31-Aug-21,3228.23,3467.42,3191.34,1520000,3225.67,3222.43,3345.72,3145.53,966580,3222.16,3243.96,3282.21,3155.31,643730,3243.9,3273.78,3284.58,3212.24,466210,3273.58,3093.78,3279.93,3063.37,839540,3430.74
30-Aug-21,3222.43,3345.72,3145.53,966580,3222.16,3243.96,3282.21,3155.31,643730,3243.9,3273.78,3284.58,3212.24,466210,3273.58,3093.78,3279.93,3063.37,839540,3093.54,3228.03,3249.62,3057.48,118440,3225.67
29-Aug-21,3243.96,3282.21,3155.31,643730,3243.9,3273.78,3284.58,3212.24,466210,3273.58,3093.78,3279.93,3063.37,839540,3093.54,3228.03,3249.62,3057.48,118440,3228.15,3172.12,3247.43,3080.7,923130,3222.16
28-Aug-21,3273.78,3284.58,3212.24,466210,3273.58,3093.78,3279.93,3063.37,839540,3093.54,3228.03,3249.62,3057.48,118440,3228.15,3172.12,3247.43,3080.7,923130,3173.26,3322.6,3357.99,3150.75,988820,3243.9
27-Aug-21,3093.78,3279.93,3063.37,839540,3093.54,3228.03,3249.62,3057.48,118440,3228.15,3172.12,3247.43,3080.7,923130,3173.26,3322.6,3357.99,3150.75,988820,3319.49,3238.41,3375.42,3231.96,1090000,3273.58
26-Aug-21,3228.03,3249.62,3057.48,118440,3228.15,3172.12,3247.43,3080.7,923130,3173.26,3322.6,3357.99,3150.75,988820,3319.49,3238.41,3375.42,3231.96,1090000,3238.7,3224.17,3271.94,3128.98,747650,3093.54
25-Aug-21,3172.12,3247.43,3080.7,923130,3173.26,3322.6,3357.99,3150.75,988820,3319.49,3238.41,3375.42,3231.96,1090000,3238.7,3224.17,3271.94,3128.98,747650,3223.96,3285.12,3307.33,3200.19,768740,3228.15
24-Aug-21,3322.6,3357.99,3150.75,988820,3319.49,3238.41,3375.42,3231.96,1090000,3238.7,3224.17,3271.94,3128.98,747650,3223.96,3285.12,3307.33,3200.19,768740,3284.21,3184.83,3300.36,3179.18,739320,3173.26
23-Aug-21,3238.41,3375.42,3231.96,1090000,3238.7,3224.17,3271.94,3128.98,747650,3223.96,3285.12,3307.33,3200.19,768740,3284.21,3184.83,3300.36,3179.18,739320,3184.82,3016.92,3185.51,2962.04,844130,3319.49
22-Aug-21,3224.17,3271.94,3128.98,747650,3223.96,3285.12,3307.33,3200.19,768740,3284.21,3184.83,3300.36,3179.18,739320,3184.82,3016.92,3185.51,2962.04,844130,3016.91,3012.62,3124.51,2951.04,750740,3238.7
21-Aug-21,3285.12,3307.33,3200.19,768740,3284.21,3184.83,3300.36,3179.18,739320,3184.82,3016.92,3185.51,2962.04,844130,3016.91,3012.62,3124.51,2951.04,750740,3014.58,3147.67,3290.03,2993.63,1060000,3223.96
20-Aug-21,3184.83,3300.36,3179.18,739320,3184.82,3016.92,3185.51,2962.04,844130,3016.91,3012.62,3124.51,2951.04,750740,3014.58,3147.67,3290.03,2993.63,1060000,3147.65,3307.96,3334.22,3138.37,859090,3284.21
19-Aug-21,3016.92,3185.51,2962.04,844130,3016.91,3012.62,3124.51,2951.04,750740,3014.58,3147.67,3290.03,2993.63,1060000,3147.65,3307.96,3334.22,3138.37,859090,3308.87,3264.56,3318.61,3115.34,782810,3184.82
18-Aug-21,3012.62,3124.51,2951.04,750740,3014.58,3147.67,3290.03,2993.63,1060000,3147.65,3307.96,3334.22,3138.37,859090,3308.87,3264.56,3318.61,3115.34,782810,3264.69,3322.25,3328.38,3209.45,658600,3016.91
17-Aug-21,3147.67,3290.03,2993.63,1060000,3147.65,3307.96,3334.22,3138.37,859090,3308.87,3264.56,3318.61,3115.34,782810,3264.69,3322.25,3328.38,3209.45,658600,3322.43,3043.2,3324.53,3035.52,795540,3014.58
16-Aug-21,3307.96,3334.22,3138.37,859090,3308.87,3264.56,3318.61,3115.34,782810,3264.69,3322.25,3328.38,3209.45,658600,3322.43,3043.2,3324.53,3035.52,795540,3043.61,3160.17,3236.28,2981.35,965630,3147.65
15-Aug-21,3264.56,3318.61,3115.34,782810,3264.69,3322.25,3328.38,3209.45,658600,3322.43,3043.2,3324.53,3035.52,795540,3043.61,3160.17,3236.28,2981.35,965630,3163.66,3140.86,3269.7,3122.67,950120,3308.87
14-Aug-21,3322.25,3328.38,3209.45,658600,3322.43,3043.2,3324.53,3035.52,795540,3043.61,3160.17,3236.28,2981.35,965630,3163.66,3140.86,3269.7,3122.67,950120,3140.71,3162.81,3232.02,3057.84,1120000,3264.69
13-Aug-21,3043.2,3324.53,3035.52,795540,3043.61,3160.17,3236.28,2981.35,965630,3163.66,3140.86,3269.7,3122.67,950120,3140.71,3162.81,3232.02,3057.84,1120000,3162.93,3011.88,3184.84,2899.24,1440000,3322.43
12-Aug-21,3160.17,3236.28,2981.35,965630,3163.66,3140.86,3269.7,3122.67,950120,3140.71,3162.81,3232.02,3057.84,1120000,3162.93,3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3043.61
11-Aug-21,3140.86,3269.7,3122.67,950120,3140.71,3162.81,3232.02,3057.84,1120000,3162.93,3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,3163.66
10-Aug-21,3162.81,3232.02,3057.84,1120000,3162.93,3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,3140.71
9-Aug-21,3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,3162.93
8-Aug-21,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,3012.07
7-Aug-21,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,3158
6-Aug-21,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2889.43
5-Aug-21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2827.21
4-Aug-21,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2725.29
