Date,Price,Open,High,Low,Vol.,Change %
25-Sep-21,2874.68,2928.59,2965.48,2812.70,973.83K,-1.84%
24-Sep-21,2928.57,3152.92,3158.38,2740.06,1.74M,-7.12%
23-Sep-21,3152.92,3077.80,3173.00,3035.96,841.54K,2.44%
22-Sep-21,3077.78,2764.71,3087.97,2740.58,1.19M,11.45%
21-Sep-21,2761.52,2976.70,3101.88,2659.71,1.79M,-7.21%
20-Sep-21,2976.05,3328.49,3344.04,2931.64,1.72M,-10.61%
19-Sep-21,3329.12,3435.92,3455.67,3282.85,614.00K,-3.11%
18-Sep-21,3435.97,3398.55,3539.50,3371.33,600.19K,1.10%
17-Sep-21,3398.65,3569.92,3592.20,3352.32,748.10K,-4.78%
16-Sep-21,3569.43,3612.23,3672.68,3488.53,195.79K,-1.18%
15-Sep-21,3611.90,3430.36,3612.29,3361.63,790.27K,5.34%
14-Sep-21,3428.87,3284.65,3428.87,3270.91,720.34K,4.39%
13-Sep-21,3284.52,3408.17,3429.24,3118.66,1.34M,-3.63%
12-Sep-21,3408.28,3267.33,3469.50,3231.87,805.97K,4.31%
11-Sep-21,3267.33,3209.37,3345.37,3202.41,732.95K,1.87%
10-Sep-21,3207.27,3423.87,3512.90,3156.28,1.21M,-6.32%
9-Sep-21,3423.51,3498.92,3564.30,3395.94,1.09M,-2.05%
8-Sep-21,3495.10,3424.35,3557.67,3221.60,780.68K,2.10%
7-Sep-21,3423.12,3926.84,3945.79,3061.30,2.47M,-12.84%
6-Sep-21,3927.21,3950.20,3968.20,3867.55,764.56K,-0.59%
5-Sep-21,3950.62,3885.40,3981.22,3834.74,714.16K,1.69%
4-Sep-21,3884.97,3938.45,3968.33,3844.07,672.53K,-1.30%
3-Sep-21,3936.29,3785.85,4024.89,3715.97,1.20M,3.96%
2-Sep-21,3786.19,3826.90,3833.89,3723.42,928.70K,-1.21%
1-Sep-21,3832.73,3429.65,3839.91,3384.82,1.48M,11.72%
31-Aug-21,3430.74,3228.23,3467.42,3191.34,1.52M,6.36%
30-Aug-21,3225.67,3222.43,3345.72,3145.53,966.58K,0.11%
29-Aug-21,3222.16,3243.96,3282.21,3155.31,643.73K,-0.67%
28-Aug-21,3243.90,3273.78,3284.58,3212.24,466.21K,-0.91%
27-Aug-21,3273.58,3093.78,3279.93,3063.37,839.54K,5.82%
26-Aug-21,3093.54,3228.03,3249.62,3057.48,118.44K,-4.17%
25-Aug-21,3228.15,3172.12,3247.43,3080.70,923.13K,1.73%
